OrderID,ProductID,Quantity,UnitPrice
1,1947,1,2330
2,1376,2,690
2,1715,3,320
2,1604,1,660
2,1190,1,8720
3,1234,1,260
3,1220,2,630
3,1418,1,2260
3,1527,2,4800
4,1561,1,6540
4,1483,2,4030
5,1492,2,3840
5,1591,1,4260
6,1465,2,1580
6,1437,3,1200
7,1536,3,6070
7,1945,3,350
7,1826,1,2240
8,1825,1,1270
8,1987,1,1600
9,1632,3,890
9,1435,2,8400
9,1726,2,840
10,1722,2,150
10,1771,2,310
10,1755,3,520
11,1065,2,1300
11,1126,1,8950
12,1803,1,2790
12,1821,1,1800
13,1981,3,660
13,1822,3,2200
14,1328,3,740
14,1370,2,2190
14,1326,3,2060
15,1441,1,1510
16,1557,3,6820
16,1541,3,5240
16,1182,2,1240
17,1131,1,2310
17,1087,3,860
18,1944,3,1540
18,1921,1,1770
18,1922,2,1640
18,1841,2,720
19,1416,3,3730
19,1483,1,4030
19,1408,1,7180
20,1801,3,3240
20,1983,2,540
21,1523,1,7260
21,1501,1,1290
21,1251,3,530
22,1890,2,1750
23,1611,2,280
23,1709,3,200
24,1985,2,2270
24,1947,3,2330
24,1325,2,2090
25,1708,3,50
26,1849,2,2960
26,1911,2,3680
27,1074,2,4150
27,1068,3,690
27,1013,2,2210
27,1055,1,5100
28,1952,2,1710
28,1887,1,2280
29,1482,2,2010
29,1564,3,9710
29,1421,3,3920
30,1361,3,1730
30,1388,1,600
31,1928,1,3140
31,1948,3,2470
32,1961,2,3940
32,1988,3,2310
33,1441,3,1510
33,1765,2,570
33,1543,2,7930
34,1650,1,820
35,1284,1,1330
35,1253,2,1900
36,1100,2,1760
36,1061,2,1680
36,1159,3,950
37,1249,2,810
37,1206,3,1140
37,1823,3,710
38,1881,1,2570
38,1057,2,660
38,1802,3,1270
38,1021,2,2850
39,1688,1,410
39,1674,2,670
39,1373,3,1010
39,1919,1,970
40,1762,3,430
40,1621,3,890
41,1126,2,8950
41,1615,2,730
42,1434,1,750
42,1958,1,3160
43,1353,1,1340
43,1324,2,1040
43,1604,3,660
44,1545,1,3530
44,1477,2,6530
45,1661,3,260
46,1280,3,800
46,1299,3,1220
46,1342,2,640
47,1984,2,600
47,1321,2,2350
47,1348,2,120
48,1145,2,2070
48,1101,1,1240
48,1129,2,2600
49,1433,1,1580
49,1898,1,1210
49,1735,3,180
50,1712,1,70
50,1766,1,740
51,1252,3,200
51,1303,2,320
52,1368,3,2470
52,1241,2,990
53,1608,2,470
53,1881,2,2570
53,1843,1,3890
54,1584,1,8420
54,1522,3,2450
54,1971,3,2350
55,1873,1,2420
55,1204,1,1100
55,1269,2,2190
55,1719,3,240
56,1736,3,940
56,1443,2,9980
56,1581,2,5930
57,1862,2,3720
57,1870,2,3620
58,1467,2,8810
58,1581,3,5930
58,1462,3,5140
59,1091,1,2210
59,1015,3,6000
60,1825,2,1270
60,1947,3,2330
60,1137,2,5550
61,1625,3,470
61,1753,1,400
61,1666,1,380
61,1619,2,790
62,1581,1,5930
62,1583,1,1700
63,1434,3,750
63,1572,1,1020
63,1495,3,3310
64,1325,3,2090
64,1701,3,260
64,1742,2,500
65,1144,2,1930
65,1097,2,5960
65,1043,2,8660
66,1501,1,1290
66,1542,3,1800
66,1447,3,710
67,1482,2,2010
67,1071,1,1410
67,1015,3,6000
68,1601,3,500
68,1742,2,500
68,1727,2,460
69,1358,1,1630
69,1127,1,3610
70,1081,3,4270
70,1165,1,6230
70,1189,3,8140
71,1648,1,120
71,1723,2,340
72,1292,3,510
73,1712,2,70
73,1626,3,790
73,1084,3,6960
74,1569,3,4600
74,1402,3,650
74,1412,2,7650
74,1485,2,1240
75,1104,3,7110
75,1017,3,3770
75,1083,2,6770
76,1328,1,740
76,1221,2,1940
76,1214,2,1880
77,1721,3,120
77,1682,1,560
78,1457,2,5350
78,1502,2,3600
79,1505,2,6830
79,1597,1,7910
79,1646,1,990
80,1664,3,420
80,1703,1,910
81,1448,1,5400
81,1964,2,940
81,1829,2,2630
82,1510,2,8660
82,1534,3,1470
83,1523,2,7260
84,1600,1,5300
84,1882,3,2200
84,1990,1,2260
85,1321,3,2350
85,1202,2,2000
85,1898,2,1210
86,1688,1,410
86,1668,1,140
86,1648,3,120
86,1655,3,920
87,1024,2,4550
87,1001,2,5860
87,1122,3,2840
87,1672,2,470
88,1922,1,1640
88,1901,1,1990
89,1064,1,3350
89,1002,3,6710
89,1061,1,1680
90,1849,1,2960
90,1951,1,560
91,1721,3,120
91,1716,1,570
91,1606,1,660
92,1122,3,2840
92,1124,3,8490
92,1021,3,2850
93,1564,3,9710
93,1542,3,1800
94,1128,3,5700
94,1001,1,5860
94,1170,2,2360
95,1507,3,4030
96,1441,2,1510
96,1482,2,2010
96,1407,2,1390
97,1985,3,2270
97,1907,3,3850
98,1427,3,3350
98,1964,3,940
98,1854,3,100
98,1983,2,540
99,1392,1,340
99,1273,3,250
99,1254,2,2270
99,1377,1,440
100,1722,2,150
100,1621,2,890
101,1104,1,7110
101,1082,3,5630
101,1101,1,1240
102,1186,2,3950
102,1074,2,4150
102,1230,2,940
103,1977,3,1600
103,1932,3,2860
103,1839,1,2980
104,1986,1,2400
104,1819,1,3470
104,1469,3,2080
104,1862,3,3720
105,1520,1,560
106,1161,3,7890
106,1746,2,230
106,1300,3,1140
107,1441,2,1510
107,1207,2,240
107,1503,1,7140
108,1641,2,220
108,1733,2,480
108,1622,3,80
109,1865,2,480
109,1969,2,1310
109,1924,2,2200
109,1440,3,9840
110,1011,3,3520
110,1789,1,150
110,1150,1,5100
110,1735,2,180
111,1445,2,7950
111,1063,1,500
112,1647,3,880
113,1965,2,3660
113,1886,2,2060
114,1414,2,7680
114,1718,3,230
115,1622,1,80
115,1678,3,410
116,1224,3,1150
116,1273,3,250
116,1339,2,800
116,1255,3,1950
117,1793,2,940
117,1691,3,760
117,1789,2,150
118,1561,1,6540
118,1530,1,8600
118,1491,3,8670
119,1608,3,470
119,1242,3,1990
119,1743,3,190
120,1393,3,850
120,1244,3,290
121,1668,1,140
121,1703,3,910
122,1080,2,1830
122,1041,3,1950
122,1130,3,320
122,1148,2,8540
123,1706,2,680
123,1434,3,750
123,1451,2,540
123,1652,1,140
124,1842,3,1980
